minute,hour,day,day_w,month,year,available
30,22,03,5,06,2016,4711
45,22,03,5,06,2016,4867
00,23,03,5,06,2016,4970
15,23,03,5,06,2016,5030
30,23,03,5,06,2016,5095
45,23,03,5,06,2016,5157
00,00,04,6,06,2016,5258
15,00,04,6,06,2016,5281
30,00,04,6,06,2016,5301
45,00,04,6,06,2016,5321
00,01,04,6,06,2016,5336
15,01,04,6,06,2016,5342
30,01,04,6,06,2016,5340
45,01,04,6,06,2016,5344
00,02,04,6,06,2016,5344
15,02,04,6,06,2016,5345
30,02,04,6,06,2016,5346
45,02,04,6,06,2016,5348
00,03,04,6,06,2016,5349
15,03,04,6,06,2016,5348
30,03,04,6,06,2016,5349
45,03,04,6,06,2016,5350
00,04,04,6,06,2016,5350
15,04,04,6,06,2016,5348
30,04,04,6,06,2016,5347
45,04,04,6,06,2016,5347
00,05,04,6,06,2016,5347
15,05,04,6,06,2016,5347
30,05,04,6,06,2016,5346
45,05,04,6,06,2016,5345
00,06,04,6,06,2016,5343
15,06,04,6,06,2016,5342
30,06,04,6,06,2016,5343
45,06,04,6,06,2016,5341
00,07,04,6,06,2016,5339
15,07,04,6,06,2016,5333
30,07,04,6,06,2016,5329
45,07,04,6,06,2016,5322
00,08,04,6,06,2016,5307
15,08,04,6,06,2016,5294
30,08,04,6,06,2016,5278
45,08,04,6,06,2016,5252
00,09,04,6,06,2016,5223
15,09,04,6,06,2016,5167
30,09,04,6,06,2016,5113
45,09,04,6,06,2016,5001
00,10,04,6,06,2016,4851
15,10,04,6,06,2016,4659
30,10,04,6,06,2016,4468
45,10,04,6,06,2016,4277
00,11,04,6,06,2016,4077
15,11,04,6,06,2016,3875
30,11,04,6,06,2016,3715
45,11,04,6,06,2016,3496
00,12,04,6,06,2016,3309
15,12,04,6,06,2016,3120
30,12,04,6,06,2016,2919
45,12,04,6,06,2016,2716
00,13,04,6,06,2016,2559
15,13,04,6,06,2016,2414
30,13,04,6,06,2016,2282
45,13,04,6,06,2016,2181
00,14,04,6,06,2016,2093
15,14,04,6,06,2016,2066
30,14,04,6,06,2016,2014
45,14,04,6,06,2016,1996
00,15,04,6,06,2016,1945
15,15,04,6,06,2016,1915
30,15,04,6,06,2016,1886
45,15,04,6,06,2016,1882
00,16,04,6,06,2016,1906
15,16,04,6,06,2016,1931
30,16,04,6,06,2016,1960
45,16,04,6,06,2016,1994
00,17,04,6,06,2016,2043
15,17,04,6,06,2016,2133
30,17,04,6,06,2016,2233
45,17,04,6,06,2016,2303
00,18,04,6,06,2016,2322
15,18,04,6,06,2016,2330
30,18,04,6,06,2016,2361
45,18,04,6,06,2016,2468
00,19,04,6,06,2016,2546
15,19,04,6,06,2016,2596
30,19,04,6,06,2016,2625
45,19,04,6,06,2016,2663
00,20,04,6,06,2016,2648
15,20,04,6,06,2016,2629
30,20,04,6,06,2016,2645
45,20,04,6,06,2016,2687
00,21,04,6,06,2016,2817
15,21,04,6,06,2016,3004
30,21,04,6,06,2016,3223
45,21,04,6,06,2016,3511
00,22,04,6,06,2016,3800
15,22,04,6,06,2016,4199
30,22,04,6,06,2016,4534
45,22,04,6,06,2016,4806
00,23,04,6,06,2016,4912
15,23,04,6,06,2016,4951
30,23,04,6,06,2016,4960
45,23,04,6,06,2016,4966
00,00,05,7,06,2016,4972
15,00,05,7,06,2016,4973
30,00,05,7,06,2016,4970
45,00,05,7,06,2016,4979
00,01,05,7,06,2016,4987
15,01,05,7,06,2016,5001
00,04,05,7,06,2016,5007
15,04,05,7,06,2016,5007
30,04,05,7,06,2016,5005
45,04,05,7,06,2016,5005
00,05,05,7,06,2016,5005
15,05,05,7,06,2016,5005
30,05,05,7,06,2016,5005
45,05,05,7,06,2016,5004
00,06,05,7,06,2016,5001
15,06,05,7,06,2016,4996
30,06,05,7,06,2016,4983
45,06,05,7,06,2016,4976
00,07,05,7,06,2016,4967
15,07,05,7,06,2016,4959
30,07,05,7,06,2016,4948
45,07,05,7,06,2016,4934
00,08,05,7,06,2016,4918
15,08,05,7,06,2016,4902
30,08,05,7,06,2016,4872
45,08,05,7,06,2016,4844
00,09,05,7,06,2016,4805
15,09,05,7,06,2016,4770
30,09,05,7,06,2016,4730
45,09,05,7,06,2016,4653
00,10,05,7,06,2016,4527
15,10,05,7,06,2016,4333
30,10,05,7,06,2016,4164
45,10,05,7,06,2016,3973
00,11,05,7,06,2016,3792
15,11,05,7,06,2016,3593
30,11,05,7,06,2016,3426
45,11,05,7,06,2016,3244
00,12,05,7,06,2016,3076
15,12,05,7,06,2016,2901
30,12,05,7,06,2016,2746
45,12,05,7,06,2016,2610
00,13,05,7,06,2016,2458
15,13,05,7,06,2016,2303
30,13,05,7,06,2016,2180
45,13,05,7,06,2016,2054
00,14,05,7,06,2016,1969
15,14,05,7,06,2016,1841
30,14,05,7,06,2016,1755
45,14,05,7,06,2016,1667
00,15,05,7,06,2016,1618
15,15,05,7,06,2016,1580
30,15,05,7,06,2016,1571
45,15,05,7,06,2016,1581
00,16,05,7,06,2016,1591
15,16,05,7,06,2016,1653
30,16,05,7,06,2016,1701
45,16,05,7,06,2016,1759
00,17,05,7,06,2016,1918
15,17,05,7,06,2016,2155
30,17,05,7,06,2016,2292
45,17,05,7,06,2016,2431
00,18,05,7,06,2016,2544
15,18,05,7,06,2016,2684
30,18,05,7,06,2016,2793
45,18,05,7,06,2016,2895
00,19,05,7,06,2016,2980
15,19,05,7,06,2016,3108
30,19,05,7,06,2016,3220
45,19,05,7,06,2016,3302
00,20,05,7,06,2016,3378
15,20,05,7,06,2016,3444
30,20,05,7,06,2016,3521
45,20,05,7,06,2016,3615
00,21,05,7,06,2016,3737
15,21,05,7,06,2016,3860
30,21,05,7,06,2016,4019
45,21,05,7,06,2016,4192
00,22,05,7,06,2016,4406
15,22,05,7,06,2016,4631
30,22,05,7,06,2016,4759
45,22,05,7,06,2016,4817
00,23,05,7,06,2016,4860
15,23,05,7,06,2016,4885
30,23,05,7,06,2016,4888
45,23,05,7,06,2016,4890
00,00,06,1,06,2016,4893
15,00,06,1,06,2016,4897
30,00,06,1,06,2016,4896
45,00,06,1,06,2016,4896
00,01,06,1,06,2016,4897
15,01,06,1,06,2016,4898
30,01,06,1,06,2016,4896
45,01,06,1,06,2016,4896
00,02,06,1,06,2016,4896
15,02,06,1,06,2016,4897
30,02,06,1,06,2016,4894
45,02,06,1,06,2016,4896
00,03,06,1,06,2016,4896
15,03,06,1,06,2016,4896
30,03,06,1,06,2016,4897
45,03,06,1,06,2016,4897
00,04,06,1,06,2016,4897
15,04,06,1,06,2016,4896
30,04,06,1,06,2016,4895
45,04,06,1,06,2016,4895
00,05,06,1,06,2016,4894
15,05,06,1,06,2016,4894
30,05,06,1,06,2016,4893
45,05,06,1,06,2016,4893
00,06,06,1,06,2016,4889
15,06,06,1,06,2016,4871
30,06,06,1,06,2016,4829
45,06,06,1,06,2016,4748
00,07,06,1,06,2016,4630
15,07,06,1,06,2016,4419
30,07,06,1,06,2016,4240
45,07,06,1,06,2016,4014
00,08,06,1,06,2016,3734
15,08,06,1,06,2016,3439
30,08,06,1,06,2016,3186
45,08,06,1,06,2016,2929
00,09,06,1,06,2016,2699
15,09,06,1,06,2016,2526
30,09,06,1,06,2016,2380
45,09,06,1,06,2016,2287
00,10,06,1,06,2016,2159
15,10,06,1,06,2016,2061
30,10,06,1,06,2016,1966
45,10,06,1,06,2016,1890
00,11,06,1,06,2016,1812
15,11,06,1,06,2016,1738
30,11,06,1,06,2016,1652
45,11,06,1,06,2016,1551
00,12,06,1,06,2016,1464
15,12,06,1,06,2016,1352
30,12,06,1,06,2016,1280
45,12,06,1,06,2016,1219
00,13,06,1,06,2016,1170
15,13,06,1,06,2016,1102
30,13,06,1,06,2016,1112
45,13,06,1,06,2016,1106
00,14,06,1,06,2016,1130
15,14,06,1,06,2016,1140
30,14,06,1,06,2016,1169
45,14,06,1,06,2016,1195
00,15,06,1,06,2016,1187
15,15,06,1,06,2016,1198
30,15,06,1,06,2016,1226
45,15,06,1,06,2016,1280
00,16,06,1,06,2016,1306
15,16,06,1,06,2016,1560
30,16,06,1,06,2016,2004
45,16,06,1,06,2016,2329
00,17,06,1,06,2016,2630
15,17,06,1,06,2016,2852
30,17,06,1,06,2016,3123
45,17,06,1,06,2016,3290
00,18,06,1,06,2016,3401
15,18,06,1,06,2016,3492
30,18,06,1,06,2016,3565
45,18,06,1,06,2016,3636
00,19,06,1,06,2016,3720
15,19,06,1,06,2016,3798
30,19,06,1,06,2016,3882
45,19,06,1,06,2016,3950
00,20,06,1,06,2016,3985
15,20,06,1,06,2016,4060
30,20,06,1,06,2016,4126
45,20,06,1,06,2016,4191
00,21,06,1,06,2016,4246
15,21,06,1,06,2016,4302
30,21,06,1,06,2016,4376
45,21,06,1,06,2016,4452
00,22,06,1,06,2016,4544
15,22,06,1,06,2016,4659
30,22,06,1,06,2016,4677
45,22,06,1,06,2016,4684
00,23,06,1,06,2016,4686
15,23,06,1,06,2016,4688
30,23,06,1,06,2016,4693
45,23,06,1,06,2016,4696
00,00,07,2,06,2016,4696
15,00,07,2,06,2016,4697
30,00,07,2,06,2016,4697
45,00,07,2,06,2016,4696
00,01,07,2,06,2016,4697
15,01,07,2,06,2016,4697
30,01,07,2,06,2016,4696
45,01,07,2,06,2016,4698
00,02,07,2,06,2016,4699
15,02,07,2,06,2016,4701
30,02,07,2,06,2016,4701
45,02,07,2,06,2016,4701
00,03,07,2,06,2016,4701
15,03,07,2,06,2016,4700
30,03,07,2,06,2016,4699
45,03,07,2,06,2016,4699
00,04,07,2,06,2016,4699
15,04,07,2,06,2016,4698
30,04,07,2,06,2016,4699
45,04,07,2,06,2016,4699
00,05,07,2,06,2016,4702
15,05,07,2,06,2016,4704
30,05,07,2,06,2016,4703
45,05,07,2,06,2016,4703
00,06,07,2,06,2016,4700
15,06,07,2,06,2016,4682
30,06,07,2,06,2016,4645
45,06,07,2,06,2016,4545
00,07,07,2,06,2016,4402
15,07,07,2,06,2016,4221
30,07,07,2,06,2016,4018
45,07,07,2,06,2016,3784
00,08,07,2,06,2016,3480
15,08,07,2,06,2016,3156
30,08,07,2,06,2016,2813
45,08,07,2,06,2016,2539
00,09,07,2,06,2016,2246
15,09,07,2,06,2016,2016
30,09,07,2,06,2016,1840
45,09,07,2,06,2016,1683
00,10,07,2,06,2016,1528
15,10,07,2,06,2016,1408
30,10,07,2,06,2016,1308
45,10,07,2,06,2016,1219
00,11,07,2,06,2016,1141
15,11,07,2,06,2016,1058
30,11,07,2,06,2016,963
45,11,07,2,06,2016,884
00,12,07,2,06,2016,835
15,12,07,2,06,2016,772
30,12,07,2,06,2016,724
45,12,07,2,06,2016,642
00,13,07,2,06,2016,605
15,13,07,2,06,2016,570
30,13,07,2,06,2016,548
45,13,07,2,06,2016,513
00,14,07,2,06,2016,542
15,14,07,2,06,2016,553
30,14,07,2,06,2016,553
45,14,07,2,06,2016,559
00,15,07,2,06,2016,599
15,15,07,2,06,2016,601
30,15,07,2,06,2016,647
45,15,07,2,06,2016,706
00,16,07,2,06,2016,813
15,16,07,2,06,2016,1108
30,16,07,2,06,2016,1565
45,16,07,2,06,2016,1972
00,17,07,2,06,2016,2195
15,17,07,2,06,2016,2451
30,17,07,2,06,2016,2689
45,17,07,2,06,2016,2830
00,18,07,2,06,2016,2968
15,18,07,2,06,2016,3028
30,18,07,2,06,2016,3114
45,18,07,2,06,2016,3207
00,19,07,2,06,2016,3285
15,19,07,2,06,2016,3369
30,19,07,2,06,2016,3449
45,19,07,2,06,2016,3529
00,20,07,2,06,2016,3593
15,20,07,2,06,2016,3660
30,20,07,2,06,2016,3722
45,20,07,2,06,2016,3789
00,21,07,2,06,2016,3862
15,21,07,2,06,2016,3915
30,21,07,2,06,2016,4008
45,21,07,2,06,2016,4121
00,22,07,2,06,2016,4247
15,22,07,2,06,2016,4392
30,22,07,2,06,2016,4479
45,22,07,2,06,2016,4493
00,23,07,2,06,2016,4495
15,23,07,2,06,2016,4496
30,23,07,2,06,2016,4502
45,23,07,2,06,2016,4501
00,00,08,3,06,2016,4506
15,00,08,3,06,2016,4506
30,00,08,3,06,2016,4504
45,00,08,3,06,2016,4502
00,01,08,3,06,2016,4504
15,01,08,3,06,2016,4505
30,01,08,3,06,2016,4504
45,01,08,3,06,2016,4505
00,02,08,3,06,2016,4505
15,02,08,3,06,2016,4506
30,02,08,3,06,2016,4506
45,02,08,3,06,2016,4507
00,03,08,3,06,2016,4507
15,03,08,3,06,2016,4510
30,03,08,3,06,2016,4510
45,03,08,3,06,2016,4510
00,04,08,3,06,2016,4508
15,04,08,3,06,2016,4508
30,04,08,3,06,2016,4507
45,04,08,3,06,2016,4507
00,05,08,3,06,2016,4507
15,05,08,3,06,2016,4509
30,05,08,3,06,2016,4507
45,05,08,3,06,2016,4507
00,06,08,3,06,2016,4505
15,06,08,3,06,2016,4490
30,06,08,3,06,2016,4447
45,06,08,3,06,2016,4355
00,07,08,3,06,2016,4216
15,07,08,3,06,2016,4055
30,07,08,3,06,2016,3842
45,07,08,3,06,2016,3636
00,08,08,3,06,2016,3343
15,08,08,3,06,2016,3040
30,08,08,3,06,2016,2705
45,08,08,3,06,2016,3476
00,09,08,3,06,2016,3165
15,09,08,3,06,2016,2911
30,09,08,3,06,2016,2726
45,09,08,3,06,2016,2556
00,10,08,3,06,2016,2391
15,10,08,3,06,2016,2287
30,10,08,3,06,2016,2189
45,10,08,3,06,2016,2086
00,11,08,3,06,2016,1992
15,11,08,3,06,2016,1913
30,11,08,3,06,2016,1827
45,11,08,3,06,2016,1744
00,12,08,3,06,2016,1695
15,12,08,3,06,2016,1622
30,12,08,3,06,2016,1560
45,12,08,3,06,2016,1958
00,13,08,3,06,2016,1887
15,13,08,3,06,2016,1866
30,13,08,3,06,2016,1841
45,13,08,3,06,2016,1853
00,14,08,3,06,2016,1883
15,14,08,3,06,2016,1888
30,14,08,3,06,2016,1895
45,14,08,3,06,2016,1917
00,15,08,3,06,2016,1981
15,15,08,3,06,2016,1992
30,15,08,3,06,2016,2037
45,15,08,3,06,2016,2065
00,16,08,3,06,2016,2120
15,16,08,3,06,2016,2366
30,16,08,3,06,2016,2765
45,16,08,3,06,2016,3122
00,17,08,3,06,2016,3382
15,17,08,3,06,2016,3605
30,17,08,3,06,2016,3880
45,17,08,3,06,2016,4060
00,18,08,3,06,2016,4179
15,18,08,3,06,2016,4268
30,18,08,3,06,2016,4353
45,18,08,3,06,2016,4444
00,19,08,3,06,2016,4500
15,19,08,3,06,2016,4545
30,19,08,3,06,2016,4544
45,19,08,3,06,2016,4559
00,20,08,3,06,2016,4580
15,20,08,3,06,2016,4603
30,20,08,3,06,2016,4628
45,20,08,3,06,2016,4675
00,21,08,3,06,2016,4721
15,21,08,3,06,2016,4790
30,21,08,3,06,2016,4909
45,21,08,3,06,2016,4991
00,22,08,3,06,2016,5117
15,22,08,3,06,2016,5223
30,22,08,3,06,2016,5302
45,22,08,3,06,2016,5341
00,23,08,3,06,2016,5379
15,23,08,3,06,2016,5399
30,23,08,3,06,2016,5420
45,23,08,3,06,2016,5444
00,00,09,4,06,2016,5457
15,00,09,4,06,2016,5460
30,00,09,4,06,2016,5472
45,00,09,4,06,2016,5484
00,01,09,4,06,2016,5500
15,01,09,4,06,2016,5500
30,01,09,4,06,2016,5500
00,03,09,4,06,2016,5500
15,03,09,4,06,2016,5500
30,03,09,4,06,2016,5500
00,04,09,4,06,2016,5499
15,04,09,4,06,2016,5497
30,04,09,4,06,2016,5499
45,04,09,4,06,2016,5498
00,05,09,4,06,2016,5499
15,05,09,4,06,2016,5499
30,05,09,4,06,2016,5500
45,05,09,4,06,2016,5497
00,06,09,4,06,2016,5495
15,06,09,4,06,2016,5482
30,06,09,4,06,2016,5439
45,06,09,4,06,2016,5348
00,07,09,4,06,2016,5224
15,07,09,4,06,2016,5046
30,07,09,4,06,2016,4803
45,07,09,4,06,2016,4547
00,08,09,4,06,2016,4233
15,08,09,4,06,2016,3927
30,08,09,4,06,2016,3603
45,08,09,4,06,2016,3260
00,09,09,4,06,2016,3003
15,09,09,4,06,2016,2771
30,09,09,4,06,2016,2567
45,09,09,4,06,2016,2403
00,10,09,4,06,2016,2232
45,10,09,4,06,2016,1892
00,11,09,4,06,2016,1817
15,11,09,4,06,2016,1675
30,11,09,4,06,2016,1591
45,11,09,4,06,2016,1509
00,12,09,4,06,2016,1453
30,12,09,4,06,2016,1320
45,12,09,4,06,2016,1235
45,13,09,4,06,2016,1187
00,14,09,4,06,2016,1211
15,14,09,4,06,2016,1272
45,14,09,4,06,2016,1319
30,15,09,4,06,2016,1423
45,15,09,4,06,2016,1460
00,16,09,4,06,2016,1508
15,16,09,4,06,2016,1765
30,16,09,4,06,2016,2207
45,16,09,4,06,2016,2536
00,17,09,4,06,2016,2779
15,17,09,4,06,2016,3002
30,17,09,4,06,2016,3159
45,17,09,4,06,2016,3308
00,18,09,4,06,2016,3403
15,18,09,4,06,2016,3473
30,18,09,4,06,2016,3521
45,18,09,4,06,2016,3602
00,19,09,4,06,2016,3687
15,19,09,4,06,2016,3725
30,19,09,4,06,2016,3793
45,19,09,4,06,2016,3853
00,20,09,4,06,2016,3931
15,20,09,4,06,2016,4029
30,20,09,4,06,2016,4093
45,20,09,4,06,2016,4190
00,21,09,4,06,2016,4281
15,21,09,4,06,2016,4390
30,21,09,4,06,2016,4556
45,21,09,4,06,2016,4683
00,22,09,4,06,2016,4867
15,22,09,4,06,2016,5070
30,22,09,4,06,2016,5161
45,22,09,4,06,2016,5179
00,23,09,4,06,2016,5202
15,23,09,4,06,2016,5205
30,23,09,4,06,2016,5211
45,23,09,4,06,2016,5215
00,00,10,5,06,2016,5212
15,00,10,5,06,2016,5213
30,00,10,5,06,2016,5215
45,00,10,5,06,2016,5214
00,01,10,5,06,2016,5211
15,01,10,5,06,2016,5210
30,01,10,5,06,2016,5212
45,01,10,5,06,2016,5218
00,02,10,5,06,2016,5216
15,02,10,5,06,2016,5217
30,02,10,5,06,2016,5217
45,02,10,5,06,2016,5218
00,03,10,5,06,2016,5220
15,03,10,5,06,2016,5221
30,03,10,5,06,2016,5222
45,03,10,5,06,2016,5220
00,04,10,5,06,2016,5220
15,04,10,5,06,2016,5220
30,04,10,5,06,2016,5220
45,04,10,5,06,2016,5221
00,05,10,5,06,2016,5220
15,05,10,5,06,2016,5220
30,05,10,5,06,2016,5218
00,06,10,5,06,2016,5217
15,06,10,5,06,2016,5206
30,06,10,5,06,2016,5164
45,06,10,5,06,2016,5094
00,07,10,5,06,2016,4969
15,07,10,5,06,2016,4787
30,07,10,5,06,2016,4558
45,07,10,5,06,2016,4319
00,08,10,5,06,2016,3997
15,08,10,5,06,2016,3685
30,08,10,5,06,2016,3366
00,09,10,5,06,2016,2759
15,09,10,5,06,2016,2522
30,09,10,5,06,2016,2293
45,09,10,5,06,2016,2122
00,10,10,5,06,2016,1981
15,10,10,5,06,2016,1830
30,10,10,5,06,2016,1687
45,10,10,5,06,2016,1568
00,11,10,5,06,2016,1443
15,11,10,5,06,2016,1337
30,11,10,5,06,2016,1255
45,11,10,5,06,2016,1168
00,12,10,5,06,2016,1115
15,12,10,5,06,2016,1065
30,12,10,5,06,2016,1090
45,12,10,5,06,2016,1128
00,13,10,5,06,2016,1117
15,13,10,5,06,2016,1100
30,13,10,5,06,2016,1110
45,13,10,5,06,2016,1138
00,14,10,5,06,2016,1135
15,14,10,5,06,2016,1151
30,14,10,5,06,2016,1125
45,14,10,5,06,2016,1122
00,15,10,5,06,2016,1110
15,15,10,5,06,2016,1101
30,15,10,5,06,2016,1132
45,15,10,5,06,2016,1190
00,16,10,5,06,2016,1217
15,16,10,5,06,2016,1438
30,16,10,5,06,2016,1812
45,16,10,5,06,2016,2204
00,17,10,5,06,2016,2459
15,17,10,5,06,2016,2671
30,17,10,5,06,2016,2833
45,17,10,5,06,2016,2995
00,18,10,5,06,2016,3061
15,18,10,5,06,2016,3080
30,18,10,5,06,2016,3065
45,18,10,5,06,2016,3119
00,19,10,5,06,2016,3137
15,19,10,5,06,2016,3145
30,19,10,5,06,2016,3192
